brand,model,year,kilometers_driven,owner_type,fuel_type,price_lakhs
Toyota,Corolla Altis,2011.0,53059,2,CNG,3.38
Hyundai,Verna,2015.0,40714,1,CNG,7.27
Renault,Kiger,2021.0,14426,1,PETROL,9.98
Maruti,Ciaz,2017.0,22541,2,PETROL,10.42
Maruti,Wagon R 1.0,2018.0,66619,1,CNG,3.91
Tata,NEXON,2021.0,17657,1,PETROL,9.56
Hyundai,i10,2011.0,75979,2,PETROL,2.67
Maruti,Swift,2015.0,57604,1,PETROL,5.63
Hyundai,i20,2014.0,84953,2,PETROL,3.88
Mahindra,XUV500,2015.0,87902,3,DIESEL,7.56
Maruti,Swift,2012.0,114012,3,DIESEL,3.48
Hyundai,Verna,2018.0,67370,2,DIESEL,10.98
Maruti,Baleno,2021.0,17744,1,PETROL,8.79
Maruti,Ciaz,2021.0,15343,1,PETROL,9.41
Maruti,Celerio X,2019.0,27301,1,PETROL,5.91
Honda,Jazz,2016.0,101652,1,PETROL,4.14
Maruti,Swift,2017.0,42632,2,PETROL,5.46
Maruti,Celerio,2016.0,90249,1,PETROL,3.96
Ford,FREESTYLE,2018.0,59005,1,DIESEL,6.13
Maruti,Baleno,2017.0,27985,1,PETROL,5.48
MG,HECTOR,2019.0,24618,1,DIESEL,13.08
Maruti,Alto K10,2017.0,44338,2,PETROL,2.8
Hyundai,i20 Active,2016.0,57871,2,PETROL,6.05
Hyundai,Verna,2014.0,53875,1,PETROL,4.81
Maruti,Alto 800,2014.0,72955,2,PETROL,1.9
Hyundai,Grand i10,2015.0,41152,2,PETROL,4.18
Skoda,KUSHAQ,2021.0,16611,1,PETROL,12.12
Maruti,New Wagon-R,2019.0,68678,1,CNG,5.67
Hyundai,Elite i20,2016.0,49687,2,PETROL,5.84
Maruti,Baleno,2017.0,121933,1,PETROL,5.87
Mahindra,KUV 100 NXT,2020.0,15049,1,PETROL,6.67
Hyundai,Elite i20,2014.0,44008,1,PETROL,5.78
Hyundai,i10,2012.0,79865,2,PETROL,2.39
Hyundai,GRAND I10 NIOS,2021.0,13450,1,PETROL,5.9
Hyundai,GRAND I10 NIOS,2020.0,33659,1,PETROL,5.73
Ford,FREESTYLE,2018.0,37625,1,DIESEL,5.0
Ford,Ecosport,2019.0,108772,1,DIESEL,7.71
Hyundai,Creta,2015.0,121056,2,DIESEL,6.99
Renault,Kwid,2019.0,37478,1,PETROL,3.43
Honda,Brio,2015.0,50489,1,PETROL,3.54
Maruti,IGNIS,2018.0,26137,2,PETROL,5.37
Ford,FREESTYLE,2018.0,77281,1,PETROL,4.78
Datsun,Redi Go,2018.0,4909,2,PETROL,4.12
Maruti,Vitara Brezza,2017.0,121129,2,DIESEL,8.33
Maruti,Baleno,2021.0,34348,1,PETROL,5.65
Maruti,Dzire,2018.0,27611,1,PETROL,7.68
Maruti,Swift Dzire,2010.0,79541,1,PETROL,4.18
Hyundai,NEW I20,2021.0,40429,2,PETROL,10.11
Hyundai,Eon,2012.0,123598,2,PETROL,2.21
Renault,Kwid,2021.0,11389,1,PETROL,5.23
Skoda,Rapid,2017.0,29942,2,PETROL,7.7
Hyundai,i10,2010.0,24442,1,PETROL,1.71
Tata,NEXON,2018.0,71848,2,DIESEL,6.92
Maruti,Wagon R 1.0,2016.0,66754,1,PETROL,4.54
Hyundai,Grand i10,2019.0,24337,2,PETROL,5.42
Maruti,Alto 800,2012.0,68582,1,PETROL,2.7
Toyota,YARIS,2018.0,45165,2,PETROL,7.81
Maruti,Dzire,2018.0,23501,1,PETROL,7.55
Maruti,IGNIS,2020.0,23325,1,PETROL,7.23
Hyundai,Xcent,2017.0,42900,1,PETROL,8.89
Maruti,Ciaz,2016.0,48247,1,PETROL,7.44
Volkswagen,Ameo,2019.0,81362,2,DIESEL,8.52
Hyundai,Elite i20,2018.0,26772,2,PETROL,6.21
Maruti,Wagon R 1.0,2013.0,47038,1,PETROL,2.83
Tata,Tiago,2020.0,28971,2,PETROL,6.4
Maruti,Alto 800,2013.0,64268,2,PETROL,2.16
Hyundai,VENUE,2020.0,68413,1,PETROL,10.5
Honda,WR-V,2019.0,68714,1,PETROL,7.11
Honda,City,2013.0,57786,3,DIESEL,3.36
Maruti,Alto,2010.0,86642,1,PETROL,2.0
Hyundai,Verna,2019.0,31184,1,DIESEL,8.79
Datsun,Redi Go,2018.0,46291,1,PETROL,2.89
Maruti,Swift,2011.0,48422,1,PETROL,2.27
Maruti,Baleno,2017.0,52527,1,DIESEL,6.56
Maruti,S Cross,2020.0,28989,1,PETROL,11.83
Volkswagen,TIGUAN,2018.0,92569,1,DIESEL,19.75
Renault,Kiger,2021.0,2634,1,PETROL,9.2
Renault,Kwid,2017.0,45933,2,PETROL,3.4
Hyundai,i20,2010.0,47865,2,PETROL,2.16
Tata,Bolt,2016.0,54592,2,PETROL,3.75
Toyota,Corolla Altis,2010.0,70947,3,DIESEL,2.72
Tata,TIGOR,2022.0,25981,1,CNG,7.59
Toyota,Glanza,2021.0,24378,1,PETROL,7.59
Honda,Amaze,2020.0,25413,1,PETROL,7.34
Maruti,Vitara Brezza,2018.0,38226,1,DIESEL,7.29
Maruti,Baleno,2017.0,76028,1,PETROL,5.42
Toyota,Etios,2014.0,71275,1,DIESEL,7.74
Renault,Duster,2021.0,36371,1,PETROL,10.35
Maruti,Ciaz,2019.0,26147,1,PETROL,8.46
Maruti,Swift,2014.0,59786,1,PETROL,3.35
Hyundai,Creta,2017.0,100453,1,DIESEL,8.67
Maruti,Dzire,2017.0,32463,2,PETROL,5.13
Maruti,Wagon R 1.0,2014.0,18501,1,PETROL,3.43
Hyundai,Creta,2018.0,87542,1,DIESEL,7.92
Volkswagen,Ameo,2017.0,31487,1,PETROL,3.41
Maruti,S PRESSO,2022.0,8467,1,PETROL,5.78
Maruti,Swift,2017.0,79464,1,DIESEL,6.4
Hyundai,Verna,2016.0,54340,2,DIESEL,7.36
Hyundai,i20,2014.0,34836,2,PETROL,5.528
Skoda,Rapid,2016.0,100263,1,DIESEL,4.22
Maruti,Swift Dzire,2017.0,33065,1,PETROL,5.04
Maruti,Celerio,2018.0,65959,1,PETROL,3.96
Hyundai,Grand i10,2013.0,88521,2,PETROL,3.77
Hyundai,Grand i10,2017.0,51075,2,CNG,5.45
Honda,City,2016.0,58808,2,PETROL,7.09
Honda,Amaze,2018.0,31330,2,PETROL,7.18
Datsun,Redi Go,2018.0,48679,1,PETROL,2.75
Hyundai,Grand i10,2019.0,31953,1,PETROL,5.59
Renault,Kiger,2021.0,12944,1,PETROL,9.57
Hyundai,Grand i10,2016.0,63284,1,PETROL,4.96
Honda,City,2015.0,93076,1,CNG,5.63
Maruti,Wagon R 1.0,2017.0,31244,1,CNG,4.11
Maruti,New Wagon-R,2021.0,18543,1,PETROL,5.47
Maruti,Swift,2019.0,43271,1,PETROL,6.07
Maruti,Swift,2015.0,69946,2,PETROL,3.96
Hyundai,Elite i20,2018.0,29246,1,PETROL,7.49
Maruti,Alto,2020.0,16411,1,PETROL,3.91
Maruti,IGNIS,2021.0,14998,1,PETROL,5.66
Maruti,Swift,2015.0,81442,1,PETROL,3.82
Hyundai,NEW I20,2021.0,37099,1,PETROL,6.838
Maruti,Swift,2019.0,70182,1,PETROL,4.98
Maruti,Swift Dzire,2012.0,51409,1,PETROL,12.71
Datsun,Go,2014.0,18499,1,PETROL,2.5
Maruti,Swift Dzire,2010.0,57406,2,DIESEL,7.4
Maruti,S PRESSO,2020.0,74089,1,PETROL,4.18
Volkswagen,Polo,2018.0,53736,1,PETROL,6.83
Honda,Amaze,2019.0,56375,1,PETROL,5.96
Renault,Kiger,2021.0,9698,1,PETROL,9.68
Honda,Brio,2015.0,76911,2,PETROL,3.95
Datsun,Redi Go,2018.0,15925,1,PETROL,2.97
Mahindra,XUV500,2017.0,55456,1,DIESEL,11.19
KIA,SELTOS,2019.0,7492,1,PETROL,10.57
Hyundai,New Elantra,2017.0,64350,2,PETROL,9.68
Renault,Duster,2016.0,71788,1,DIESEL,5.22
Maruti,Swift Dzire,2013.0,71493,2,DIESEL,9.67
KIA,SELTOS,2020.0,24339,2,PETROL,11.39
Maruti,Baleno,2015.0,47035,1,DIESEL,6.06
