Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
0,Maruti S PRESSO,2022.0,3878,1,PETROL,HR-98,Manual,HatchBack,514000,Maruti,S PRESSO,First,5.14
1,Hyundai Xcent,2018.0,32041,1,PETROL,TN-22,Manual,Sedan,674000,Hyundai,Xcent,First,6.74
2,Tata Safari,2021.0,96339,1,DIESEL,TS-08,Automatic,SUV,1952000,Tata,Safari,First,19.52
3,Maruti Vitara Brezza,2019.0,51718,1,DIESEL,WB-24,Manual,SUV,690000,Maruti,Vitara Brezza,First,6.9
4,Tata Tiago,2021.0,19811,1,PETROL,HR-51,Manual,HatchBack,526000,Tata,Tiago,First,5.26
5,Maruti Swift,2017.0,70129,1,PETROL,MH-14,Manual,HatchBack,552000,Maruti,Swift,First,5.52
6,Hyundai i20,2012.0,103781,1,PETROL,,Manual,HatchBack,278000,Hyundai,i20,First,2.78
7,Renault Kwid,2021.0,31945,2,PETROL,UP-32,Automatic,HatchBack,518000,Renault,Kwid,Second,5.18
8,Hyundai Grand i10,2015.0,39950,1,PETROL,HR-26,Manual,HatchBack,443000,Hyundai,Grand i10,First,4.43
9,Maruti Swift,2018.0,56697,1,DIESEL,KA-04,Automatic,HatchBack,710350,Maruti,Swift,First,7.1035
10,Maruti IGNIS,2018.0,38184,2,CNG,PB-10,Automatic,HatchBack,548000,Maruti,IGNIS,Second,5.48
11,Maruti S PRESSO,2019.0,30347,1,PETROL,MH-48,Automatic,HatchBack,481000,Maruti,S PRESSO,First,4.81
12,Honda Brio,2012.0,42375,2,PETROL,GJ-05,Manual,HatchBack,312000,Honda,Brio,Second,3.12
13,Hyundai Elite i20,2019.0,47231,1,PETROL,GJ-27,Manual,HatchBack,613000,Hyundai,Elite i20,First,6.13
14,Honda City,2014.0,111577,1,PETROL,,Manual,Sedan,503000,Honda,City,First,5.03
15,Maruti Baleno,2018.0,60042,1,PETROL,MH-47,Manual,HatchBack,614000,Maruti,Baleno,First,6.14
16,Honda WR-V,2017.0,93518,1,DIESEL,KA-01,Manual,SUV,693000,Honda,WR-V,First,6.93
17,Honda Amaze,2019.0,33245,1,PETROL,MH-01,Manual,Sedan,439000,Honda,Amaze,First,4.39
18,Maruti Alto 800,2016.0,43717,1,PETROL,GJ-01,Manual,HatchBack,294000,Maruti,Alto 800,First,2.94
19,Maruti Celerio,2021.0,1863,1,PETROL,PB-91,Automatic,HatchBack,716000,Maruti,Celerio,First,7.16
20,Ford Ecosport,2019.0,50078,1,PETROL,TN-19,Manual,SUV,836000,Ford,Ecosport,First,8.36
21,Maruti Ciaz,2018.0,63856,1,PETROL,UP-16,Manual,Sedan,794000,Maruti,Ciaz,First,7.94
22,Renault Kwid,2018.0,72337,1,PETROL,KA-19,Manual,HatchBack,324000,Renault,Kwid,First,3.24
23,Maruti Swift,2021.0,14567,1,PETROL,WB-02,Manual,HatchBack,678000,Maruti,Swift,First,6.78
24,Hyundai Elite i20,2018.0,36778,1,CNG,DL-8C,Manual,HatchBack,587000,Hyundai,Elite i20,First,5.87
25,Hyundai Elite i20,2015.0,50419,1,PETROL,DL-12,Manual,HatchBack,474000,Hyundai,Elite i20,First,4.74
26,Honda City,2010.0,45257,1,DIESEL,HR-51,Manual,Sedan,608000,Honda,City,First,6.08
27,Maruti Swift,2016.0,40368,1,PETROL,HR-26,Manual,HatchBack,477000,Maruti,Swift,First,4.77
28,Datsun Redi Go,2016.0,37488,1,PETROL,CH-01,Manual,HatchBack,205000,Datsun,Redi Go,First,2.05
29,Tata TIAGO NRG,2019.0,43253,1,PETROL,KA-53,Manual,HatchBack,574000,Tata,TIAGO NRG,First,5.74
30,Renault Kwid,2022.0,6587,1,PETROL,KA-02,Manual,HatchBack,572000,Renault,Kwid,First,5.72
31,Honda Amaze,2019.0,37566,2,PETROL,TS-13,Manual,Sedan,635000,Honda,Amaze,Second,6.35
32,Hyundai Santro Xing,2011.0,33952,2,PETROL,KL-22,Manual,HatchBack,169000,Hyundai,Santro Xing,Second,1.69
33,Ford FREESTYLE,2018.0,31679,1,PETROL,KL-09,Manual,SUV,611000,Ford,FREESTYLE,First,6.11
34,Maruti Swift,2018.0,98221,2,CNG,HR-10,Manual,HatchBack,558000,Maruti,Swift,Second,5.58
35,Maruti Baleno,2016.0,45836,1,PETROL,UP-16,Manual,HatchBack,520000,Maruti,Baleno,First,5.2
36,Honda Amaze,2018.0,75883,1,CNG,MH-05,Manual,Sedan,483000,Honda,Amaze,First,4.83
37,Maruti Dzire,2021.0,27480,1,PETROL,GJ-01,Manual,Sedan,707000,Maruti,Dzire,First,7.07
38,Maruti Ciaz,2017.0,61250,1,DIESEL,TS-07,Manual,Sedan,796000,Maruti,Ciaz,First,7.96
39,Maruti Alto,2021.0,16516,1,CNG,DL-11,Manual,HatchBack,483000,Maruti,Alto,First,4.83
40,Hyundai NEW SANTRO,2019.0,57656,1,CNG,MH-46,Manual,HatchBack,482000,Hyundai,NEW SANTRO,First,4.82
41,Maruti Baleno,2017.0,33669,2,PETROL,MH-12,Automatic,HatchBack,675000,Maruti,Baleno,Second,6.75
42,Maruti Celerio,2018.0,124206,2,PETROL,,Manual,HatchBack,373000,Maruti,Celerio,Second,3.73
43,Maruti Alto 800,2018.0,36722,1,PETROL,MH-04,Manual,HatchBack,324000,Maruti,Alto 800,First,3.24
44,Honda City,2010.0,87722,1,DIESEL,KA-05,Manual,Sedan,448000,Honda,City,First,4.48
45,Maruti Celerio,2015.0,62663,2,PETROL,UP-16,Automatic,HatchBack,377000,Maruti,Celerio,Second,3.77
46,Honda WR-V,2017.0,38022,1,PETROL,MH-04,Manual,SUV,581000,Honda,WR-V,First,5.81
47,Maruti Swift,2019.0,28956,1,PETROL,UP-14,Manual,HatchBack,572000,Maruti,Swift,First,5.72
48,Maruti Swift,2015.0,119106,2,PETROL,,Manual,HatchBack,490000,Maruti,Swift,Second,4.9
49,Hyundai Grand i10,2017.0,71686,1,PETROL,HR-16,Manual,HatchBack,417000,Hyundai,Grand i10,First,4.17
50,Maruti Alto K10,2017.0,45785,1,PETROL,DL-9C,Manual,HatchBack,347000,Maruti,Alto K10,First,3.47
51,Ford Endeavour,2019.0,94389,1,DIESEL,GJ-02,Manual,Lux_SUV,2192000,Ford,Endeavour,First,21.92
52,Maruti Ciaz,2017.0,30052,1,PETROL,DL-9C,Manual,Sedan,570000,Maruti,Ciaz,First,5.7
53,Honda Amaze,2019.0,99520,1,PETROL,HR-26,Automatic,Sedan,326000,Honda,Amaze,First,3.26
54,Maruti Swift Dzire,2013.0,69372,1,PETROL,MH-48,Automatic,Sedan,708000,Maruti,Swift Dzire,First,7.08
55,Maruti Wagon R 1.0,2014.0,21799,1,PETROL,MH-04,Manual,HatchBack,351000,Maruti,Wagon R 1.0,First,3.51
56,Maruti Swift,2014.0,69045,1,PETROL,UP-14,Manual,HatchBack,401000,Maruti,Swift,First,4.01
57,Maruti Alto,2020.0,26533,1,CNG,RJ-02,Manual,HatchBack,406000,Maruti,Alto,First,4.06
58,Hyundai GRAND I10 NIOS,2020.0,44937,1,CNG,HR-51,Manual,HatchBack,628000,Hyundai,GRAND I10 NIOS,First,6.28
59,Hyundai Grand i10,2017.0,75370,1,PETROL,TN-22,Manual,HatchBack,468000,Hyundai,Grand i10,First,4.68
60,Honda City,2017.0,4756,1,PETROL,MH-47,Manual,Sedan,940000,Honda,City,First,9.4
61,Maruti Alto K10,2012.0,39085,1,PETROL,DL-12,Manual,HatchBack,208000,Maruti,Alto K10,First,2.08
62,Maruti Celerio X,2018.0,32891,1,PETROL,MH-12,Automatic,HatchBack,595000,Maruti,Celerio X,First,5.95
63,Hyundai Grand i10,2017.0,35775,1,PETROL,GJ-01,Manual,HatchBack,515000,Hyundai,Grand i10,First,5.15
64,Toyota URBAN CRUISER,2021.0,37618,1,PETROL,BR-01,Automatic,SUV,1010000,Toyota,URBAN CRUISER,First,10.1
65,Ford Ecosport,2015.0,67486,3,PETROL,MH-02,Automatic,SUV,505000,Ford,Ecosport,Third,5.05
66,Hyundai Grand i10,2018.0,15290,2,PETROL,HR-51,Manual,HatchBack,469000,Hyundai,Grand i10,Second,4.69
67,Honda Amaze,2017.0,97313,2,PETROL,DL-14,Manual,Sedan,401000,Honda,Amaze,Second,4.01
68,Mahindra XUV500,2018.0,105290,1,DIESEL,TS-07,Manual,Lux_SUV,1222000,Mahindra,XUV500,First,12.22
69,Hyundai Elite i20,2014.0,65354,1,PETROL,TN-02,Manual,HatchBack,523000,Hyundai,Elite i20,First,5.23
70,Hyundai Verna,2017.0,28991,1,PETROL,MH-12,Manual,Sedan,714000,Hyundai,Verna,First,7.14
71,Honda WR-V,2019.0,72139,1,CNG,DL-8C,Manual,SUV,772000,Honda,WR-V,First,7.72
72,Maruti Alto,2022.0,8502,1,CNG,MH-12,Manual,HatchBack,528000,Maruti,Alto,First,5.28
73,Maruti Alto K10,2018.0,48617,1,PETROL,KL-27,Manual,HatchBack,365000,Maruti,Alto K10,First,3.65
74,Maruti Swift Dzire,2015.0,106877,1,PETROL,,Manual,Sedan,224000,Maruti,Swift Dzire,First,2.24
75,Hyundai VENUE,2019.0,50050,1,PETROL,UP-78,Automatic,SUV,897000,Hyundai,VENUE,First,8.97
76,Tata NEXON,2017.0,69430,1,PETROL,TN-14,Manual,SUV,707000,Tata,NEXON,First,7.07
77,Maruti Baleno,2016.0,68815,1,PETROL,MH-01,Automatic,HatchBack,584000,Maruti,Baleno,First,5.84
78,Maruti Baleno,2016.0,64759,1,PETROL,MH-12,Manual,HatchBack,545000,Maruti,Baleno,First,5.45
79,Maruti Wagon R 1.0,2016.0,40417,1,PETROL,DL-9C,Automatic,HatchBack,401000,Maruti,Wagon R 1.0,First,4.01
80,Maruti Baleno,2018.0,68101,1,PETROL,TS-07,Manual,HatchBack,691000,Maruti,Baleno,First,6.91
81,Honda City,2019.0,64853,2,PETROL,KL-45,Manual,Sedan,338000,Honda,City,Second,3.38
82,Mahindra KUV 100 NXT,2017.0,51642,1,DIESEL,UP-14,Manual,SUV,507000,Mahindra,KUV 100 NXT,First,5.07
83,Maruti Alto K10,2018.0,24502,2,PETROL,WB-90,Manual,HatchBack,293000,Maruti,Alto K10,Second,2.93
84,Hyundai Elite i20,2016.0,60350,1,PETROL,TS-07,Manual,HatchBack,629000,Hyundai,Elite i20,First,6.29
85,Maruti Alto 800,2014.0,71000,2,PETROL,PB-10,Manual,HatchBack,234000,Maruti,Alto 800,Second,2.34
86,Toyota YARIS,2021.0,66161,2,PETROL,KA-01,Manual,Sedan,662000,Toyota,YARIS,Second,6.62
87,Maruti Wagon R 1.0,2015.0,64154,1,PETROL,UP-32,Manual,HatchBack,325000,Maruti,Wagon R 1.0,First,3.25
88,Mahindra XUV 3OO,2020.0,21270,1,DIESEL,GJ-01,Automatic,SUV,1064000,Mahindra,XUV 3OO,First,10.64
89,Hyundai Santro Xing,2010.0,90382,2,PETROL,AP-23,Manual,HatchBack,205000,Hyundai,Santro Xing,Second,2.05
90,Honda City,2018.0,49423,1,PETROL,KA-02,Manual,Sedan,810000,Honda,City,First,8.1
91,Hyundai Elite i20,2016.0,47227,1,PETROL,KL-41,Manual,HatchBack,588000,Hyundai,Elite i20,First,5.88
92,Renault TRIBER,2021.0,24236,1,PETROL,PB-70,Manual,SUV,677000,Renault,TRIBER,First,6.77
93,Hyundai Tucson New,2018.0,86933,2,PETROL,UP-14,Manual,Lux_SUV,1221000,Hyundai,Tucson New,Second,12.21
94,Mahindra TUV300,2017.0,58157,1,DIESEL,TN-09,Manual,SUV,817000,Mahindra,TUV300,First,8.17
95,Toyota Glanza,2020.0,35636,1,PETROL,MH-01,Automatic,HatchBack,809000,Toyota,Glanza,First,8.09
96,Maruti Ciaz,2017.0,45639,2,PETROL,MH-03,Manual,Sedan,428000,Maruti,Ciaz,Second,4.28
97,Honda City,2016.0,53355,1,PETROL,DL-1C,Manual,Sedan,678000,Honda,City,First,6.78
98,Maruti Baleno,2017.0,88993,1,PETROL,MP-09,Automatic,HatchBack,619000,Maruti,Baleno,First,6.19
99,Maruti Eeco,2022.0,2075,1,CNG,KL-01,Manual,SUV,552000,Maruti,Eeco,First,5.52
100,Renault Duster,2014.0,59943,1,PETROL,DL-1C,Manual,SUV,446000,Renault,Duster,First,4.46
101,Renault Duster,2020.0,20743,1,PETROL,KA-05,Manual,SUV,942000,Renault,Duster,First,9.42
102,Maruti Swift,2014.0,33869,1,DIESEL,KA-03,Manual,HatchBack,507000,Maruti,Swift,First,5.07
103,Honda City,2016.0,71731,2,PETROL,HR-51,Manual,Sedan,627000,Honda,City,Second,6.27
104,Hyundai GRAND I10 NIOS,2019.0,25955,2,PETROL,WB-20,Automatic,HatchBack,565000,Hyundai,GRAND I10 NIOS,Second,5.65
105,Ford Ecosport,2018.0,47942,1,PETROL,DL-10,Manual,SUV,844000,Ford,Ecosport,First,8.44
106,Maruti Wagon R 1.0,2014.0,63838,2,PETROL,UP-32,Manual,HatchBack,281000,Maruti,Wagon R 1.0,Second,2.81
107,Maruti Swift Dzire,2012.0,50854,2,PETROL,DL-3C,Manual,Sedan,294000,Maruti,Swift Dzire,Second,2.94
108,Maruti Alto,2020.0,18534,1,PETROL,KL-36,Manual,HatchBack,368000,Maruti,Alto,First,3.68
109,Hyundai Elite i20,2016.0,118327,2,DIESEL,MH-14,Manual,HatchBack,613000,Hyundai,Elite i20,Second,6.13
110,Toyota URBAN CRUISER,2020.0,22389,1,PETROL,UP-78,Manual,SUV,751000,Toyota,URBAN CRUISER,First,7.51
111,Mahindra XUV500,2018.0,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000,Mahindra,XUV500,Second,11.96
112,Maruti Alto 800,2015.0,30790,1,PETROL,MH-12,Manual,HatchBack,253000,Maruti,Alto 800,First,2.53
113,Honda City,2010.0,68137,1,PETROL,TN-07,Manual,Sedan,737000,Honda,City,First,7.37
114,Hyundai i10,2012.0,35125,2,PETROL,TN-07,Manual,HatchBack,308000,Hyundai,i10,Second,3.08
115,Hyundai Elite i20,2018.0,67281,2,PETROL,GJ-01,Manual,HatchBack,690000,Hyundai,Elite i20,Second,6.9
116,Hyundai NEW SANTRO,2018.0,80229,1,CNG,MH-14,Manual,HatchBack,436000,Hyundai,NEW SANTRO,First,4.36
117,Hyundai NEW SANTRO,2018.0,22533,1,PETROL,TS-10,Manual,HatchBack,505000,Hyundai,NEW SANTRO,First,5.05
118,Hyundai NEW SANTRO,2019.0,27153,2,PETROL,RJ-36,Manual,HatchBack,486000,Hyundai,NEW SANTRO,Second,4.86
119,Nissan MAGNITE,2021.0,66065,1,PETROL,DL-8C,Manual,SUV,750000,Nissan,MAGNITE,First,7.5
120,Honda City,2018.0,53612,2,PETROL,TN-02,Automatic,Sedan,591000,Honda,City,Second,5.91
121,Hyundai Grand i10,2017.0,23376,1,PETROL,MH-05,Manual,HatchBack,535000,Hyundai,Grand i10,First,5.35
122,KIA SONET,2021.0,22542,1,PETROL,PB-91,Manual,SUV,1141000,KIA,SONET,First,11.41
123,Tata Safari,2021.0,25239,1,DIESEL,TN-14,Automatic,SUV,1810000,Tata,Safari,First,18.1
124,Ford FREESTYLE,2020.0,37077,1,PETROL,KA-04,Manual,SUV,633000,Ford,FREESTYLE,First,6.33
125,Maruti Alto 800,2017.0,54791,1,PETROL,TS-07,Manual,HatchBack,331000,Maruti,Alto 800,First,3.31
126,Maruti Ertiga,2012.0,100274,1,DIESEL,BR-01,Manual,SUV,416000,Maruti,Ertiga,First,4.16
127,Hyundai Elite i20,2016.0,74317,1,PETROL,HR-35,Manual,HatchBack,483000,Hyundai,Elite i20,First,4.83
128,Maruti Ciaz,2017.0,70660,1,PETROL,GJ-01,Automatic,Sedan,776000,Maruti,Ciaz,First,7.76
129,Ford Ecosport,2019.0,57675,1,CNG,DL-8C,Manual,SUV,796000,Ford,Ecosport,First,7.96
130,Hyundai Grand i10,2019.0,32033,1,PETROL,DL-9C,Automatic,HatchBack,593000,Hyundai,Grand i10,First,5.93
131,Hyundai i10,2010.0,99873,1,PETROL,HR-26,Manual,HatchBack,162000,Hyundai,i10,First,1.62
132,Maruti Wagon R 1.0,2018.0,10409,1,PETROL,MH-02,Automatic,HatchBack,486000,Maruti,Wagon R 1.0,First,4.86
133,Honda Jazz,2016.0,31130,1,PETROL,PB-08,Manual,HatchBack,461000,Honda,Jazz,First,4.61
134,KIA SELTOS,2020.0,96537,2,PETROL,GJ-18,Manual,SUV,906000,KIA,SELTOS,Second,9.06
135,Renault Duster,2013.0,92379,1,DIESEL,RJ-14,Manual,SUV,362000,Renault,Duster,First,3.62
136,Maruti Swift Dzire,2014.0,26337,2,PETROL,UP-37,Manual,Sedan,621000,Maruti,Swift Dzire,Second,6.21
137,Nissan MAGNITE,2021.0,25725,1,PETROL,GJ-38,Automatic,SUV,858000,Nissan,MAGNITE,First,8.58
138,Hyundai Grand i10,2019.0,15100,1,PETROL,HR-03,Manual,HatchBack,606000,Hyundai,Grand i10,First,6.06
139,Hyundai GRAND I10 NIOS,2021.0,27546,1,PETROL,MP-09,Automatic,HatchBack,692000,Hyundai,GRAND I10 NIOS,First,6.92
140,Maruti Wagon R 1.0,2018.0,32330,1,PETROL,HR-52,Automatic,HatchBack,449000,Maruti,Wagon R 1.0,First,4.49
141,Honda Amaze,2019.0,18152,1,PETROL,GJ-06,Manual,Sedan,689000,Honda,Amaze,First,6.89
142,Maruti Dzire,2017.0,71321,2,PETROL,HR-26,Manual,Sedan,701000,Maruti,Dzire,Second,7.01
143,Maruti Alto K10,2012.0,80172,2,PETROL,AP-29,Manual,HatchBack,197300,Maruti,Alto K10,Second,1.973
144,Maruti Swift,2018.0,44602,1,PETROL,TS-07,Manual,HatchBack,654000,Maruti,Swift,First,6.54
145,Toyota YARIS,2018.0,39299,1,PETROL,MH-12,Automatic,Sedan,901000,Toyota,YARIS,First,9.01
146,Honda Brio,2012.0,52092,2,PETROL,KA-04,Manual,HatchBack,332000,Honda,Brio,Second,3.32
147,Volkswagen Ameo,2018.0,19158,1,PETROL,TN-59,Manual,Sedan,654000,Volkswagen,Ameo,First,6.54
148,Renault Kiger,2021.0,20044,1,PETROL,KA-04,Manual,HatchBack,675000,Renault,Kiger,First,6.75
149,Maruti Wagon R 1.0,2014.0,44752,1,PETROL,MH-03,Manual,HatchBack,353000,Maruti,Wagon R 1.0,First,3.53
150,Honda Accord,2013.0,114653,1,PETROL,,Manual,Sedan,190000,Honda,Accord,First,1.9
151,Datsun Redi Go,2018.0,30732,1,PETROL,KA-04,Manual,HatchBack,262000,Datsun,Redi Go,First,2.62
152,Maruti Swift Dzire,2012.0,14799,1,PETROL,MH-01,Manual,Sedan,468000,Maruti,Swift Dzire,First,4.68
153,Maruti Dzire,2018.0,43525,1,PETROL,KA-05,Manual,Sedan,674000,Maruti,Dzire,First,6.74
154,Hyundai Grand i10,2017.0,92995,2,PETROL,HR-36,Manual,HatchBack,442000,Hyundai,Grand i10,Second,4.42
155,Hyundai NEW I20,2021.0,14261,1,PETROL,TN-14,Manual,HatchBack,763000,Hyundai,NEW I20,First,7.63
156,Honda Amaze,2013.0,9415,1,PETROL,GJ-32,Manual,Sedan,723000,Honda,Amaze,First,7.23
157,Maruti Celerio,2018.0,17547,1,PETROL,MH-01,Automatic,HatchBack,488000,Maruti,Celerio,First,4.88
158,Maruti Celerio,2017.0,49344,1,PETROL,GJ-08,Automatic,HatchBack,471000,Maruti,Celerio,First,4.71
159,Hyundai Elite i20,2019.0,18690,1,PETROL,TS-12,Manual,HatchBack,751000,Hyundai,Elite i20,First,7.51
160,Tata NEXON,2018.0,83234,1,DIESEL,WB-26,Manual,SUV,526000,Tata,NEXON,First,5.26
161,Maruti Ciaz,2021.0,17752,1,PETROL,TN-06,Manual,Sedan,761000,Maruti,Ciaz,First,7.61
162,Honda Amaze,2021.0,97084,1,PETROL,KA-41,Manual,Sedan,422000,Honda,Amaze,First,4.22
163,Hyundai Xcent,2015.0,40791,2,PETROL,MH-01,Manual,Sedan,444000,Hyundai,Xcent,Second,4.44
164,Tata ALTROZ,2020.0,35197,1,DIESEL,MH-03,Manual,HatchBack,787000,Tata,ALTROZ,First,7.87
165,Maruti Vitara Brezza,2018.0,73081,1,DIESEL,UP-65,Manual,SUV,635000,Maruti,Vitara Brezza,First,6.35
166,Maruti Wagon R 1.0,2018.0,58165,2,PETROL,MP-04,Manual,HatchBack,383000,Maruti,Wagon R 1.0,Second,3.83
167,Maruti Wagon R 1.0,2011.0,22866,1,PETROL,DL-8C,Manual,HatchBack,220000,Maruti,Wagon R 1.0,First,2.2
168,Maruti Baleno,2017.0,54410,1,PETROL,DL-9C,Manual,HatchBack,496000,Maruti,Baleno,First,4.96
169,Maruti Wagon R 1.0,2017.0,14524,1,PETROL,KA-53,Manual,HatchBack,463000,Maruti,Wagon R 1.0,First,4.63
170,Renault Kwid,2015.0,66995,2,PETROL,MH-14,Manual,HatchBack,283000,Renault,Kwid,Second,2.83
171,Maruti Wagon R 1.0,2017.0,75537,1,CNG,DL-8C,Manual,HatchBack,374250,Maruti,Wagon R 1.0,First,3.7425
172,Maruti Dzire,2017.0,39198,1,PETROL,TS-08,Automatic,Sedan,973000,Maruti,Dzire,First,9.73
173,Maruti Baleno,2016.0,74270,2,DIESEL,MH-12,Manual,HatchBack,545000,Maruti,Baleno,Second,5.45
174,Maruti Baleno,2017.0,36573,3,PETROL,TN-14,Manual,HatchBack,610000,Maruti,Baleno,Third,6.1
175,Maruti A Star,2010.0,64103,2,PETROL,KA-02,Manual,HatchBack,221000,Maruti,A Star,Second,2.21
176,Maruti Alto 800,2018.0,26158,1,PETROL,PB-91,Manual,HatchBack,343000,Maruti,Alto 800,First,3.43
177,Maruti Alto,2019.0,60299,1,PETROL,GJ-03,Manual,HatchBack,380000,Maruti,Alto,First,3.8
178,Maruti Baleno,2017.0,32343,1,PETROL,MH-14,Automatic,HatchBack,603000,Maruti,Baleno,First,6.03
179,Maruti Ciaz,2015.0,123077,2,DIESEL,GJ-01,Manual,Sedan,569350,Maruti,Ciaz,Second,5.6935
180,Hyundai Elite i20,2017.0,29201,2,PETROL,MH-02,Manual,HatchBack,561000,Hyundai,Elite i20,Second,5.61
181,Honda City,2017.0,71105,1,PETROL,MH-48,Automatic,Sedan,627000,Honda,City,First,6.27
182,Maruti Swift Dzire,2012.0,73399,1,PETROL,AP-23,Manual,Sedan,419000,Maruti,Swift Dzire,First,4.19
183,Maruti Swift Dzire,2013.0,41312,1,PETROL,AP-10,Manual,Sedan,451000,Maruti,Swift Dzire,First,4.51
184,Maruti Baleno,2017.0,34102,1,PETROL,MH-03,Manual,HatchBack,624000,Maruti,Baleno,First,6.24
185,Hyundai i10,2011.0,69532,1,PETROL,KA-05,Automatic,HatchBack,343000,Hyundai,i10,First,3.43
186,Maruti Vitara Brezza,2020.0,41465,2,DIESEL,HR-13,Manual,SUV,726000,Maruti,Vitara Brezza,Second,7.26
187,Maruti Ritz,2014.0,75638,2,PETROL,TS-13,Manual,HatchBack,378000,Maruti,Ritz,Second,3.78
188,Maruti Dzire,2019.0,51377,1,PETROL,TS-08,Automatic,Sedan,672000,Maruti,Dzire,First,6.72
189,Maruti Swift Dzire,2014.0,35872,1,PETROL,WB-02,Manual,Sedan,336000,Maruti,Swift Dzire,First,3.36
190,Honda Jazz,2015.0,74079,2,PETROL,GJ-06,Manual,HatchBack,428000,Honda,Jazz,Second,4.28
191,Maruti Wagon R 1.0,2011.0,79275,1,PETROL,DL-8C,Manual,HatchBack,202000,Maruti,Wagon R 1.0,First,2.02
192,Hyundai Grand i10,2018.0,27721,1,PETROL,DL-8C,Manual,HatchBack,497000,Hyundai,Grand i10,First,4.97
193,Maruti Swift,2018.0,21347,1,PETROL,DL-5C,Manual,HatchBack,559000,Maruti,Swift,First,5.59
194,Maruti IGNIS,2017.0,59811,1,PETROL,MH-05,Automatic,HatchBack,537000,Maruti,IGNIS,First,5.37
195,Nissan Micra,2018.0,89172,1,PETROL,GJ-05,Automatic,HatchBack,449000,Nissan,Micra,First,4.49
196,Maruti Baleno,2019.0,31867,1,PETROL,DL-8C,Manual,HatchBack,680000,Maruti,Baleno,First,6.8
197,Hyundai i20,2012.0,39845,1,PETROL,MH-02,Manual,HatchBack,320000,Hyundai,i20,First,3.2
198,Maruti Alto K10,2015.0,67182,2,PETROL,MH-12,Automatic,HatchBack,348000,Maruti,Alto K10,Second,3.48
199,Mahindra XUV500,2018.0,69690,1,DIESEL,MH-47,Manual,Lux_SUV,1187000,Mahindra,XUV500,First,11.87
200,Renault Kwid,2019.0,66740,1,PETROL,GJ-05,Automatic,HatchBack,401000,Renault,Kwid,First,4.01
201,Honda Brio,2014.0,70683,2,PETROL,UP-32,Manual,HatchBack,286000,Honda,Brio,Second,2.86
202,Maruti Swift,2019.0,39280,2,PETROL,GJ-05,Manual,HatchBack,572000,Maruti,Swift,Second,5.72
203,Maruti Vitara Brezza,2019.0,41265,2,DIESEL,GJ-03,Manual,SUV,914000,Maruti,Vitara Brezza,Second,9.14
204,Hyundai Verna,2017.0,58942,1,PETROL,MH-12,Automatic,Sedan,802000,Hyundai,Verna,First,8.02
205,Hyundai i20,2014.0,36766,2,PETROL,KA-51,Manual,HatchBack,525000,Hyundai,i20,Second,5.25
206,Hyundai Eon,2016.0,33476,1,PETROL,MH-12,Manual,HatchBack,327000,Hyundai,Eon,First,3.27
207,Hyundai Creta,2015.0,99951,2,PETROL,DL-1C,Manual,SUV,690000,Hyundai,Creta,Second,6.9
208,Tata Tiago,2021.0,12060,1,PETROL,TN-09,Manual,HatchBack,667000,Tata,Tiago,First,6.67
209,Tata Tiago,2019.0,30214,1,PETROL,TN-58,Manual,HatchBack,477000,Tata,Tiago,First,4.77
210,Ford Ecosport,2016.0,46706,1,PETROL,DL-2C,Manual,SUV,692000,Ford,Ecosport,First,6.92
211,Maruti Wagon R 1.0,2014.0,53706,1,PETROL,MH-15,Manual,HatchBack,327000,Maruti,Wagon R 1.0,First,3.27
212,Hyundai Grand i10,2014.0,59973,1,PETROL,TS-07,Manual,HatchBack,440000,Hyundai,Grand i10,First,4.4
213,Maruti Alto,2020.0,61703,1,PETROL,PB-07,Manual,HatchBack,333000,Maruti,Alto,First,3.33
214,Hyundai Eon,2015.0,43724,1,PETROL,KA-19,Manual,HatchBack,299000,Hyundai,Eon,First,2.99
215,Maruti Baleno,2017.0,26371,1,PETROL,HR-30,Manual,HatchBack,529000,Maruti,Baleno,First,5.29
216,Hyundai Verna,2017.0,114451,1,DIESEL,KA-13,Manual,Sedan,800000,Hyundai,Verna,First,8.0
217,Maruti Celerio,2020.0,81389,1,CNG,MH-12,Manual,HatchBack,497000,Maruti,Celerio,First,4.97
218,Ford Ecosport,2017.0,33921,1,PETROL,TN-12,Manual,SUV,722000,Ford,Ecosport,First,7.22
219,Mahindra Bolero,2020.0,47559,2,DIESEL,UP-32,Manual,SUV,762000,Mahindra,Bolero,Second,7.62
220,Maruti Alto K10,2010.0,54671,1,PETROL,KA-03,Manual,HatchBack,233000,Maruti,Alto K10,First,2.33
221,Hyundai i10,2010.0,50831,3,PETROL,KA-51,Manual,HatchBack,241000,Hyundai,i10,Third,2.41
222,Maruti Celerio,2020.0,50393,1,CNG,MH-43,Manual,HatchBack,507000,Maruti,Celerio,First,5.07
223,Hyundai VENUE,2021.0,16860,2,PETROL,TN-12,Manual,SUV,1007000,Hyundai,VENUE,Second,10.07
224,Maruti Dzire,2020.0,69384,2,DIESEL,WB-20,Automatic,Sedan,676000,Maruti,Dzire,Second,6.76
225,Renault Duster,2016.0,52851,1,DIESEL,GJ-16,Manual,SUV,573000,Renault,Duster,First,5.73
