Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
4538,Maruti Alto K10,2019.0,28315,1,PETROL,GJ-05,Manual,HatchBack,381000,Maruti,Alto K10,First,3.81
4539,Maruti Dzire,2018.0,70986,1,PETROL,RJ-14,Automatic,Sedan,670000,Maruti,Dzire,First,6.7
4540,Maruti Vitara Brezza,2018.0,61369,2,DIESEL,HR-70,Automatic,SUV,762000,Maruti,Vitara Brezza,Second,7.62
4541,Hyundai Grand i10,2017.0,38831,2,PETROL,MH-12,Automatic,HatchBack,586000,Hyundai,Grand i10,Second,5.86
4542,Maruti Alto K10,2018.0,35434,1,PETROL,TS-08,Manual,HatchBack,379000,Maruti,Alto K10,First,3.79
4543,Hyundai GRAND I10 NIOS,2020.0,79701,1,CNG,DL-2C,Manual,HatchBack,655000,Hyundai,GRAND I10 NIOS,First,6.55
4544,Hyundai Grand i10,2017.0,28851,1,PETROL,MH-40,Manual,HatchBack,485000,Hyundai,Grand i10,First,4.85
4545,Maruti Wagon R 1.0,2014.0,46709,3,PETROL,HR-26,Manual,HatchBack,330000,Maruti,Wagon R 1.0,Third,3.3
4546,Hyundai NEW I20,2021.0,73768,1,PETROL,TN-10,Manual,HatchBack,753000,Hyundai,NEW I20,First,7.53
4547,Hyundai NEW I20,2021.0,97621,1,DIESEL,TS-01,Manual,HatchBack,862000,Hyundai,NEW I20,First,8.62
4548,Maruti Swift,2011.0,94660,1,PETROL,DL-9C,Manual,HatchBack,237000,Maruti,Swift,First,2.37
4549,Hyundai Creta,2018.0,93327,2,DIESEL,UP-16,Manual,SUV,751000,Hyundai,Creta,Second,7.51
4550,Maruti Swift Dzire,2015.0,83446,1,PETROL,AP-30,Manual,Sedan,581000,Maruti,Swift Dzire,First,5.81
4551,Maruti Wagon R 1.0,2018.0,37315,1,CNG,MH-03,Manual,HatchBack,443000,Maruti,Wagon R 1.0,First,4.43
4552,Hyundai Elite i20,2019.0,46580,2,PETROL,TN-14,Manual,HatchBack,667000,Hyundai,Elite i20,Second,6.67
4553,Honda City,2012.0,72618,1,PETROL,HR-36,Manual,Sedan,771000,Honda,City,First,7.71
4554,Tata NEXON,2021.0,19886,1,DIESEL,TS-19,Manual,SUV,1080000,Tata,NEXON,First,10.8
4555,Maruti Swift,2013.0,55645,1,PETROL,MH-43,Manual,HatchBack,364000,Maruti,Swift,First,3.64
4556,Hyundai i10,2013.0,29963,1,PETROL,GJ-05,Manual,HatchBack,287000,Hyundai,i10,First,2.87
4557,Maruti Swift,2019.0,25661,2,PETROL,DL-9C,Manual,HatchBack,555000,Maruti,Swift,Second,5.55
4558,Renault Kiger,2021.0,22637,1,PETROL,KA-50,Automatic,HatchBack,855000,Renault,Kiger,First,8.55
4559,Hyundai i10,2011.0,62237,1,PETROL,MH-12,Manual,HatchBack,248000,Hyundai,i10,First,2.48
4560,Tata NEXON,2019.0,38643,1,PETROL,DL-12,Automatic,SUV,736350,Tata,NEXON,First,7.3635
4561,Volkswagen Vento,2015.0,33510,1,PETROL,MH-01,Manual,Sedan,455000,Volkswagen,Vento,First,4.55
4562,Maruti Swift,2016.0,84469,1,PETROL,KA-51,Manual,HatchBack,593000,Maruti,Swift,First,5.93
4563,Hyundai i20,2013.0,64421,2,PETROL,MH-02,Manual,HatchBack,349000,Hyundai,i20,Second,3.49
4564,Maruti S Cross,2016.0,117557,1,DIESEL,WB-02,Manual,SUV,420000,Maruti,S Cross,First,4.2
4565,Maruti Dzire,2021.0,30197,1,PETROL,KA-04,Automatic,Sedan,781000,Maruti,Dzire,First,7.81
4566,Hyundai Elite i20,2015.0,44221,3,PETROL,WB-32,Manual,HatchBack,374000,Hyundai,Elite i20,Third,3.74
4567,Hyundai NEW SANTRO,2019.0,33688,1,PETROL,TN-05,Automatic,HatchBack,535000,Hyundai,NEW SANTRO,First,5.35
4568,Maruti IGNIS,2019.0,20364,1,PETROL,UP-14,Manual,HatchBack,522000,Maruti,IGNIS,First,5.22
4569,Renault TRIBER,2019.0,102395,1,PETROL,,Manual,SUV,522000,Renault,TRIBER,First,5.22
4570,Hyundai Grand i10,2014.0,47903,2,PETROL,GJ-06,Manual,HatchBack,376000,Hyundai,Grand i10,Second,3.76
4571,Honda Brio,2012.0,110366,1,PETROL,,Manual,HatchBack,312000,Honda,Brio,First,3.12
4572,Maruti Wagon R 1.0,2013.0,45198,1,PETROL,KA-04,Manual,HatchBack,384000,Maruti,Wagon R 1.0,First,3.84
